Brand,Model Year,Mileage,Fuel Type,Condition,Transmission,Resale Price
Mercedes,2012,66674,Diesel,3,Manual,41635
Ford,2024,54047,Diesel,4,Automatic,33484
Mercedes,2007,58197,Electric,1,Automatic,47840
Ford,2020,80467,Gasoline,4,Automatic,26454
Toyota,2017,56308,Gasoline,4,Automatic,27078
Honda,2023,46036,Gasoline,1,Manual,23836
Honda,2012,54485,Diesel,1,Automatic,24290
Honda,2009,78813,Gasoline,4,Manual,24357
Mercedes,2024,69923,Gasoline,2,Automatic,47958
Toyota,2012,60885,Gasoline,5,Manual,27544
Mercedes,2016,63830,Diesel,5,Automatic,53747
Mercedes,2005,48805,Gasoline,2,Manual,42903
Toyota,2024,56121,Diesel,1,Automatic,32836
Toyota,2010,46733,Gasoline,4,Automatic,29420
Toyota,2022,54104,Gasoline,5,Automatic,36693
Toyota,2012,86923,Gasoline,4,Automatic,25305
Honda,2011,38442,Diesel,2,Manual,22432
BMW,2005,46225,Diesel,4,Manual,41422
BMW,2020,34914,Gasoline,2,Automatic,41652
Toyota,2016,30581,Electric,1,Manual,31106
BMW,2010,56264,Diesel,2,Automatic,38525
BMW,2024,47647,Diesel,2,Automatic,49086
Toyota,2006,95233,Gasoline,5,Manual,21395
BMW,2018,54343,Electric,4,Manual,53034
Mercedes,2008,85787,Gasoline,5,Manual,43492
Ford,2005,79360,Diesel,3,Automatic,18939
Ford,2022,55820,Diesel,2,Automatic,27209
Toyota,2017,102202,Gasoline,3,Manual,24377
Honda,2006,65370,Gasoline,5,Automatic,24189
Toyota,2013,90260,Electric,4,Manual,31421
Honda,2006,87931,Electric,5,Manual,31480
Ford,2013,68292,Diesel,4,Manual,26603
Toyota,2005,75022,Electric,4,Manual,32844
Mercedes,2015,72481,Electric,1,Manual,49243
BMW,2007,37114,Diesel,2,Manual,36361
Honda,2024,61145,Diesel,5,Automatic,37279
BMW,2008,81484,Diesel,4,Automatic,40804
BMW,2022,90523,Diesel,5,Manual,45917
Toyota,2010,45587,Gasoline,5,Manual,26316
BMW,2007,70576,Diesel,4,Manual,42276
Mercedes,2015,63017,Diesel,3,Automatic,51257
BMW,2019,57642,Diesel,2,Manual,44235
Toyota,2009,67120,Electric,2,Manual,31859
Mercedes,2024,64359,Diesel,1,Manual,50087
Ford,2014,70828,Gasoline,1,Automatic,20195
BMW,2016,88834,Gasoline,1,Manual,38333
Toyota,2019,75682,Diesel,2,Automatic,31744
Ford,2021,66211,Gasoline,3,Automatic,30493
Ford,2014,97292,Electric,2,Manual,27244
Honda,2010,82198,Diesel,2,Automatic,24982
Mercedes,2022,58152,Gasoline,2,Automatic,50551
BMW,2017,35657,Gasoline,2,Automatic,42260
Toyota,2007,40243,Diesel,3,Manual,22528
Honda,2014,78664,Gasoline,1,Automatic,24474
Mercedes,2018,47393,Diesel,5,Manual,50318
Honda,2010,39838,Gasoline,1,Manual,18384
Mercedes,2007,44838,Electric,1,Manual,48764
Mercedes,2020,46252,Gasoline,5,Automatic,54954
BMW,2011,77012,Gasoline,2,Manual,37303
Mercedes,2024,56865,Diesel,3,Automatic,52198
Honda,2018,32552,Gasoline,3,Automatic,31471
Mercedes,2013,60620,Diesel,1,Automatic,44648
BMW,2019,64445,Electric,5,Automatic,54243
BMW,2007,50413,Diesel,4,Manual,38968
Honda,2006,83117,Diesel,2,Manual,21568
Ford,2006,51581,Gasoline,1,Automatic,18692
Ford,2007,82166,Electric,3,Manual,30794
Mercedes,2022,71935,Diesel,5,Manual,48778
Toyota,2018,78532,Gasoline,5,Manual,25980
Mercedes,2024,38028,Gasoline,1,Automatic,53746
Honda,2022,61966,Diesel,4,Manual,34052
Honda,2014,58943,Gasoline,3,Automatic,25325
Honda,2006,31559,Diesel,1,Manual,20059
Honda,2005,82101,Diesel,4,Automatic,25819
Honda,2008,43651,Diesel,5,Automatic,28858
BMW,2018,47808,Electric,2,Automatic,52409
Ford,2005,39733,Diesel,3,Manual,21035
Honda,2018,74023,Gasoline,3,Automatic,25335
Toyota,2020,29481,Electric,4,Manual,38336
Toyota,2018,72357,Gasoline,1,Automatic,26406
Toyota,2024,80890,Electric,5,Manual,40161
Toyota,2007,70743,Electric,4,Automatic,30001
BMW,2007,74252,Electric,2,Manual,43794
Toyota,2013,75190,Electric,2,Automatic,33499
Honda,2010,41011,Gasoline,2,Automatic,22338
Mercedes,2017,88694,Diesel,4,Automatic,54663
Toyota,2006,50798,Gasoline,5,Manual,23766
BMW,2012,58672,Diesel,3,Automatic,43003
BMW,2006,53347,Gasoline,1,Automatic,37616
Toyota,2008,69830,Electric,3,Automatic,36276
Mercedes,2019,49239,Electric,5,Automatic,63400
Toyota,2008,61338,Diesel,3,Manual,25085
BMW,2017,35293,Diesel,4,Automatic,46732
Ford,2016,83293,Gasoline,2,Automatic,24509
Honda,2017,73414,Diesel,5,Manual,28264
BMW,2018,54154,Gasoline,5,Manual,46700
Toyota,2024,50617,Diesel,3,Manual,33563
Honda,2022,72892,Diesel,4,Automatic,36621
Toyota,2010,45854,Diesel,3,Manual,20890
Toyota,2015,62507,Electric,3,Manual,32113
Ford,2006,83227,Electric,5,Manual,31439
Honda,2023,43774,Gasoline,3,Automatic,29508
Honda,2023,67372,Diesel,2,Automatic,32742
Ford,2009,66314,Gasoline,3,Automatic,25452
BMW,2023,58053,Diesel,2,Manual,44540
Toyota,2006,49924,Electric,5,Automatic,32660
Mercedes,2014,84295,Electric,4,Manual,53042
Toyota,2006,48048,Diesel,2,Manual,24514
Toyota,2015,23759,Diesel,4,Manual,33390
BMW,2022,72810,Electric,4,Automatic,56275
Toyota,2019,35973,Electric,2,Manual,33246
Ford,2013,73837,Gasoline,5,Manual,28284
Ford,2023,86698,Electric,1,Automatic,35806
Honda,2013,72594,Diesel,4,Manual,24047
Mercedes,2007,81428,Gasoline,4,Manual,42613
Toyota,2013,100400,Diesel,5,Manual,27573
Toyota,2018,79335,Gasoline,5,Automatic,30759
BMW,2023,66611,Diesel,3,Manual,46365
Ford,2011,92678,Electric,5,Automatic,36078
Mercedes,2020,95095,Diesel,4,Automatic,51652
Honda,2020,95375,Gasoline,2,Manual,26147
Ford,2005,50157,Diesel,1,Manual,13981
Honda,2008,32919,Gasoline,3,Manual,26790
BMW,2008,48936,Diesel,2,Manual,37667
BMW,2011,74072,Electric,1,Automatic,47942
Toyota,2012,63183,Electric,1,Automatic,32278
Mercedes,2021,55870,Diesel,1,Manual,45559
Honda,2009,71209,Diesel,2,Automatic,23866
Ford,2011,30583,Diesel,3,Manual,20651
BMW,2024,62823,Gasoline,3,Manual,46235
Toyota,2024,82369,Diesel,1,Manual,27769
Toyota,2008,70986,Diesel,2,Manual,21067
Honda,2010,73836,Gasoline,1,Automatic,22813
BMW,2011,91947,Electric,5,Automatic,50977
Mercedes,2022,58677,Diesel,3,Manual,51779
BMW,2009,46938,Diesel,4,Manual,43077
Honda,2024,83790,Electric,1,Automatic,34712
Honda,2007,83422,Electric,5,Automatic,31658
BMW,2011,71165,Gasoline,3,Automatic,37496
Honda,2018,56792,Diesel,2,Manual,26405
BMW,2011,60027,Diesel,3,Automatic,43902
Ford,2009,34464,Gasoline,2,Manual,17629
BMW,2009,82258,Electric,2,Manual,45727
BMW,2006,81553,Gasoline,1,Automatic,33277
Honda,2010,33766,Electric,1,Manual,24104
Honda,2019,77352,Gasoline,3,Automatic,31622
Toyota,2014,68082,Electric,5,Manual,31649
Toyota,2011,39560,Gasoline,3,Manual,26450
Ford,2009,35879,Electric,4,Manual,32648
Toyota,2005,67469,Electric,2,Manual,27265
BMW,2017,52045,Electric,2,Manual,47352
Honda,2022,96398,Electric,1,Manual,32185
Toyota,2017,79051,Electric,5,Automatic,41644
Toyota,2022,69473,Diesel,1,Automatic,28054
Ford,2009,70461,Electric,4,Manual,31429
Ford,2017,86617,Diesel,3,Automatic,29530
BMW,2008,76930,Electric,3,Manual,44739
Honda,2021,69995,Diesel,5,Automatic,33424
Ford,2007,40394,Diesel,1,Automatic,23851
Toyota,2021,121238,Gasoline,1,Manual,23454
Honda,2015,37936,Electric,4,Automatic,36071
Honda,2024,53749,Gasoline,3,Manual,28577
Toyota,2008,26905,Gasoline,1,Automatic,25292
Ford,2006,70775,Electric,5,Manual,29690
Toyota,2024,63022,Gasoline,3,Automatic,35020
Honda,2020,75305,Electric,4,Manual,35051
Mercedes,2022,25218,Gasoline,5,Automatic,54739
Mercedes,2012,82258,Electric,2,Manual,53774
BMW,2007,43851,Electric,4,Automatic,46445
Toyota,2013,57019,Electric,5,Manual,34649
Toyota,2024,78631,Diesel,1,Automatic,31127
BMW,2010,65225,Gasoline,2,Manual,38210
BMW,2014,66638,Diesel,4,Automatic,46960
BMW,2014,75983,Gasoline,1,Manual,40823
Honda,2017,68575,Gasoline,2,Manual,23336
Toyota,2021,53177,Gasoline,3,Manual,27095
Honda,2013,56670,Diesel,1,Manual,21727
BMW,2021,64237,Gasoline,5,Automatic,48648
Toyota,2013,42088,Diesel,4,Automatic,31258
Honda,2013,79920,Electric,2,Automatic,30039
Honda,2005,65773,Gasoline,1,Manual,17779
BMW,2006,61495,Gasoline,3,Manual,36666
Toyota,2020,83849,Electric,4,Manual,33779
BMW,2005,57597,Electric,4,Manual,47056
Toyota,2014,56351,Gasoline,1,Manual,20559
Mercedes,2022,50307,Electric,3,Automatic,58118
Ford,2012,66861,Diesel,2,Automatic,24831
Ford,2015,66169,Diesel,1,Automatic,21175
Ford,2006,46674,Gasoline,2,Manual,19345
BMW,2012,56446,Diesel,4,Manual,36500
Mercedes,2012,46807,Diesel,2,Manual,42600
Toyota,2021,45902,Gasoline,3,Manual,32355
Honda,2019,25402,Electric,5,Manual,37856
Toyota,2021,55381,Gasoline,3,Manual,27707
Honda,2017,25955,Diesel,2,Manual,29749
Toyota,2023,50743,Gasoline,1,Automatic,28377
Mercedes,2009,47746,Gasoline,4,Automatic,49139
Honda,2016,81037,Diesel,5,Manual,30796
BMW,2005,39701,Diesel,1,Manual,35971
Toyota,2009,44776,Gasoline,1,Manual,17371
Toyota,2012,52369,Diesel,3,Automatic,27673
Honda,2017,48397,Diesel,2,Automatic,34507
BMW,2012,87385,Diesel,3,Manual,38149
BMW,2015,37228,Diesel,2,Automatic,50611
Mercedes,2005,52411,Diesel,3,Automatic,48797
BMW,2017,66641,Diesel,1,Automatic,43706
BMW,2023,77623,Electric,4,Manual,53713
BMW,2007,52395,Gasoline,2,Automatic,37450
Ford,2021,21638,Diesel,5,Automatic,35740
Mercedes,2009,56997,Gasoline,5,Manual,44272
Toyota,2024,87040,Electric,1,Manual,33520
Honda,2012,65643,Diesel,3,Automatic,24493
Toyota,2018,64728,Gasoline,3,Manual,23932
Mercedes,2008,38739,Diesel,1,Automatic,47165
Honda,2015,36686,Diesel,5,Automatic,29941
Mercedes,2024,60360,Diesel,5,Manual,56254
BMW,2019,31472,Diesel,3,Manual,41637
Honda,2023,75627,Diesel,2,Automatic,31977
BMW,2011,43067,Diesel,4,Manual,41931
Toyota,2023,59506,Diesel,2,Manual,32167
Toyota,2023,22284,Electric,5,Automatic,44721
Honda,2015,52123,Electric,2,Automatic,30374
Honda,2009,36282,Diesel,4,Automatic,28309
Mercedes,2009,13560,Diesel,2,Automatic,48141
Mercedes,2012,70836,Electric,2,Automatic,52694
BMW,2014,92823,Electric,2,Automatic,49009
Honda,2010,82589,Electric,2,Manual,26241
Toyota,2019,73633,Diesel,1,Manual,22791
Mercedes,2020,51717,Gasoline,5,Automatic,52414
Mercedes,2021,76117,Gasoline,4,Manual,48162
Toyota,2012,84477,Gasoline,5,Manual,24727
Mercedes,2012,62736,Gasoline,1,Automatic,48675
BMW,2013,36312,Diesel,1,Manual,41694
Honda,2006,50012,Gasoline,1,Manual,18872
Toyota,2019,94053,Electric,1,Automatic,34689
Honda,2022,58505,Electric,2,Manual,35174
Mercedes,2007,0,Gasoline,5,Manual,48110
Mercedes,2021,30621,Electric,3,Automatic,61295
Toyota,2008,51511,Diesel,4,Manual,25504
BMW,2008,80716,Gasoline,1,Manual,28780
Ford,2018,54537,Gasoline,5,Manual,27534
Toyota,2013,81088,Diesel,1,Automatic,24464
Ford,2013,49476,Electric,1,Automatic,29528
Ford,2022,20714,Diesel,1,Manual,26352
BMW,2014,50168,Diesel,1,Manual,39593
Ford,2008,66898,Electric,1,Automatic,29190
Ford,2016,65239,Diesel,4,Automatic,30336
BMW,2012,34897,Electric,5,Manual,52739
Ford,2006,52976,Electric,1,Automatic,28871
Ford,2017,113693,Diesel,1,Manual,19715
Ford,2020,35334,Electric,1,Manual,33283
Toyota,2006,73214,Diesel,1,Automatic,18346
Toyota,2015,18066,Electric,2,Automatic,36328
Toyota,2014,77275,Gasoline,2,Manual,21632
BMW,2019,42153,Electric,3,Manual,54454
Mercedes,2021,68041,Electric,1,Automatic,56772
Ford,2012,34169,Diesel,3,Manual,22122
Ford,2022,65817,Electric,4,Automatic,40398
BMW,2013,41826,Gasoline,3,Automatic,45228
Ford,2012,45699,Gasoline,5,Automatic,28535
Toyota,2018,68839,Electric,2,Automatic,37438
Mercedes,2022,51392,Electric,2,Automatic,53938
Honda,2024,67607,Gasoline,1,Manual,20220
Ford,2024,56183,Diesel,1,Automatic,27333
Toyota,2016,61349,Gasoline,4,Automatic,30730
Honda,2023,68901,Gasoline,4,Automatic,35619
Mercedes,2018,52999,Electric,5,Automatic,59097
Honda,2021,40079,Electric,1,Automatic,34788
Toyota,2007,49353,Gasoline,1,Automatic,22209
Honda,2011,83902,Diesel,4,Automatic,26320
BMW,2021,62323,Gasoline,4,Manual,43785
Honda,2016,43102,Gasoline,4,Manual,26501
Ford,2013,68031,Diesel,2,Manual,24728
Ford,2019,69366,Gasoline,3,Manual,27263
BMW,2022,70399,Gasoline,3,Automatic,46526
Toyota,2017,40443,Electric,1,Manual,35786
Ford,2012,46352,Diesel,2,Automatic,26700
Mercedes,2018,46463,Electric,4,Manual,59484
Ford,2012,52787,Electric,1,Manual,25639
Ford,2018,70778,Diesel,2,Automatic,26153
Toyota,2011,65923,Diesel,5,Automatic,29375
Honda,2016,67504,Gasoline,2,Manual,22951
Ford,2015,87080,Electric,1,Manual,27265
BMW,2015,73777,Diesel,3,Manual,41959
Honda,2017,57163,Electric,4,Manual,39088
Mercedes,2022,36322,Electric,5,Automatic,65626
Toyota,2006,45709,Diesel,2,Manual,20684
Mercedes,2019,54765,Gasoline,1,Manual,44755
Honda,2024,76582,Electric,1,Manual,36180
Honda,2022,59453,Diesel,4,Manual,32591
Honda,2019,46876,Gasoline,1,Manual,27139
Mercedes,2023,45342,Electric,1,Automatic,57267
Honda,2016,58608,Diesel,4,Automatic,29646
Mercedes,2017,77799,Electric,5,Automatic,58215
Honda,2015,91820,Diesel,3,Automatic,26605
BMW,2009,55884,Diesel,3,Automatic,40079
Honda,2005,59105,Electric,2,Manual,26635
Mercedes,2007,35721,Electric,5,Automatic,57338
Ford,2023,98783,Diesel,2,Automatic,31238
Honda,2011,31979,Gasoline,3,Manual,20380
Ford,2016,83433,Electric,4,Automatic,33440
BMW,2019,52693,Diesel,1,Automatic,45976
Toyota,2009,48012,Diesel,3,Automatic,27966
BMW,2019,37799,Gasoline,5,Automatic,49699
Honda,2012,108200,Gasoline,3,Manual,23117
Ford,2014,64429,Gasoline,5,Manual,23758
Ford,2020,60425,Electric,5,Automatic,38521
Mercedes,2012,77734,Diesel,5,Manual,45920
Ford,2005,46983,Diesel,2,Automatic,18125
Mercedes,2016,60036,Diesel,4,Manual,49263
Toyota,2009,61126,Gasoline,3,Manual,21397
Honda,2007,49757,Diesel,4,Manual,22546
Mercedes,2005,83992,Electric,1,Manual,42473
Toyota,2008,55626,Gasoline,3,Manual,22183
Ford,2012,28937,Gasoline,4,Manual,23456
Ford,2007,53970,Gasoline,4,Manual,21744
Toyota,2014,64983,Gasoline,1,Manual,22669
Ford,2006,42130,Electric,5,Manual,30304
Toyota,2015,43708,Diesel,3,Manual,27089
Mercedes,2014,49074,Electric,3,Manual,53917
Mercedes,2018,84424,Diesel,1,Automatic,47221
Toyota,2011,50256,Electric,5,Manual,37647
Mercedes,2006,88582,Gasoline,3,Automatic,43207
Mercedes,2013,47700,Gasoline,3,Manual,47306
Mercedes,2020,66500,Electric,3,Automatic,59896
BMW,2017,51075,Electric,5,Automatic,53309
Honda,2013,75081,Diesel,1,Automatic,23129
Ford,2024,37634,Electric,3,Manual,37022
BMW,2008,74857,Electric,4,Manual,47494
Mercedes,2014,62277,Diesel,5,Manual,53241
Toyota,2016,47200,Diesel,2,Manual,25671
Mercedes,2021,56675,Diesel,1,Automatic,50276
Honda,2018,90677,Electric,4,Manual,35565
Mercedes,2018,62756,Diesel,3,Manual,48246
Toyota,2006,45945,Gasoline,2,Manual,23490
Honda,2024,35906,Gasoline,1,Manual,24509
Mercedes,2015,70108,Gasoline,5,Manual,49350
Honda,2020,63916,Electric,2,Manual,34640
Ford,2023,73900,Gasoline,2,Manual,27609
Ford,2010,30755,Electric,4,Manual,32086
Mercedes,2023,36554,Electric,1,Automatic,60455
Honda,2009,82937,Gasoline,4,Automatic,24354
Toyota,2008,66626,Diesel,4,Manual,23065
Mercedes,2019,70668,Electric,3,Manual,53072
Ford,2008,40746,Gasoline,5,Manual,21079
Ford,2024,40380,Electric,2,Manual,34598
Mercedes,2014,79825,Diesel,1,Automatic,46131
Honda,2007,80767,Diesel,5,Automatic,26545
Ford,2009,38233,Gasoline,5,Manual,24984
Honda,2010,34412,Electric,1,Automatic,33749
Ford,2012,57828,Electric,5,Automatic,35073
Ford,2011,44013,Electric,3,Manual,34979
BMW,2014,43596,Electric,5,Manual,53330
Ford,2010,34972,Gasoline,3,Manual,21857
Toyota,2018,50631,Diesel,2,Automatic,30029
Mercedes,2008,36906,Gasoline,2,Automatic,42638
Mercedes,2017,38091,Electric,4,Manual,57043
Honda,2024,65967,Electric,3,Manual,32378
Ford,2021,58896,Diesel,2,Automatic,32066
Toyota,2011,69697,Electric,5,Automatic,31381
Honda,2008,27019,Gasoline,1,Manual,19732
BMW,2018,60197,Gasoline,1,Automatic,39702
Honda,2007,101512,Diesel,3,Manual,18522
Honda,2009,52554,Gasoline,4,Manual,22227
Ford,2020,76494,Gasoline,5,Automatic,35026
BMW,2024,76320,Gasoline,3,Automatic,44977
Honda,2008,77303,Gasoline,1,Automatic,21963
Toyota,2006,63333,Electric,3,Manual,31154
Toyota,2022,71321,Gasoline,5,Manual,26757
Mercedes,2023,73980,Diesel,2,Manual,47570
BMW,2023,72708,Diesel,5,Manual,51333
BMW,2021,37651,Gasoline,2,Manual,40487
Mercedes,2018,25852,Diesel,2,Manual,51103
Honda,2023,28928,Gasoline,2,Automatic,31517
BMW,2017,54596,Diesel,3,Manual,43147
Toyota,2016,71878,Diesel,1,Manual,24045
Toyota,2010,37911,Gasoline,3,Manual,24789
Ford,2008,78479,Gasoline,1,Manual,14164
BMW,2023,49954,Electric,5,Automatic,58481
Honda,2020,50144,Gasoline,4,Manual,29733
Mercedes,2017,43277,Gasoline,5,Automatic,53689
Mercedes,2008,22304,Electric,3,Automatic,55583
Honda,2021,64586,Gasoline,3,Manual,25833
Ford,2005,94253,Gasoline,1,Manual,15051
Mercedes,2022,58746,Electric,3,Automatic,60315
BMW,2024,22987,Gasoline,2,Automatic,45189
Ford,2021,75606,Gasoline,3,Manual,24656
BMW,2019,27504,Electric,1,Automatic,50333
Toyota,2015,35819,Electric,1,Manual,29892
Ford,2017,55233,Diesel,2,Manual,23785
Mercedes,2005,62456,Gasoline,1,Automatic,41604
Ford,2021,39826,Diesel,4,Manual,29255
Ford,2010,54453,Diesel,5,Manual,26227
Ford,2008,74303,Electric,3,Manual,27407
Ford,2024,77043,Gasoline,4,Automatic,30089
BMW,2020,85029,Gasoline,3,Automatic,44058
Toyota,2019,98188,Electric,4,Automatic,39820
Honda,2019,76197,Diesel,3,Manual,27489
Ford,2010,55665,Electric,2,Automatic,31814
Mercedes,2019,77186,Gasoline,1,Automatic,49185
Ford,2018,69334,Electric,1,Automatic,33403
Mercedes,2015,70127,Gasoline,2,Manual,39652
BMW,2011,63544,Diesel,4,Manual,41863
Mercedes,2013,41758,Gasoline,5,Automatic,50175
Honda,2020,39438,Diesel,4,Automatic,37648
Toyota,2009,58057,Diesel,1,Automatic,24895
Mercedes,2024,62978,Gasoline,5,Manual,51656
Mercedes,2014,46411,Gasoline,3,Automatic,49812
Toyota,2022,68466,Diesel,5,Manual,33258
Honda,2007,101615,Electric,4,Manual,24483
Ford,2017,25113,Gasoline,2,Manual,26470
Mercedes,2015,71644,Diesel,3,Automatic,48606
Toyota,2021,58680,Diesel,4,Automatic,37407
BMW,2017,69013,Electric,3,Manual,48800
Toyota,2010,51385,Gasoline,5,Manual,29309
BMW,2021,57078,Diesel,1,Manual,42995
Honda,2017,62590,Electric,4,Manual,36818
Ford,2023,53967,Diesel,2,Automatic,29817
Toyota,2023,29589,Gasoline,5,Automatic,37726
Mercedes,2014,55321,Electric,4,Manual,51281
Honda,2007,31671,Diesel,2,Manual,21662
Toyota,2018,73063,Electric,4,Manual,32877
Mercedes,2023,22689,Gasoline,5,Automatic,55079
Toyota,2009,80573,Electric,4,Manual,29189
BMW,2009,68591,Gasoline,3,Automatic,41391
Toyota,2024,68667,Diesel,5,Manual,33771
Toyota,2021,16713,Gasoline,4,Automatic,35227
Toyota,2014,53428,Diesel,1,Automatic,26479
Honda,2009,83071,Diesel,4,Manual,25507
Toyota,2008,49627,Gasoline,3,Automatic,25526
Mercedes,2010,38438,Diesel,2,Automatic,47575
BMW,2008,47266,Electric,2,Automatic,45996
BMW,2011,58634,Diesel,2,Automatic,43867
Toyota,2011,42972,Gasoline,1,Manual,23800
Honda,2022,84676,Electric,3,Manual,34692
Honda,2007,58706,Electric,5,Manual,30396
Mercedes,2005,48888,Diesel,2,Manual,37823
Toyota,2008,33973,Diesel,3,Manual,23064
BMW,2010,69688,Gasoline,4,Automatic,37681
Honda,2013,69233,Electric,1,Automatic,29217
Toyota,2018,44155,Gasoline,3,Automatic,31506
Honda,2016,15273,Diesel,3,Automatic,31635
Honda,2024,68215,Electric,5,Manual,44235
BMW,2008,56263,Gasoline,3,Manual,36444
Ford,2016,66721,Gasoline,5,Automatic,28765
Mercedes,2014,99143,Gasoline,1,Manual,42168
Mercedes,2011,59463,Gasoline,1,Automatic,39672
BMW,2007,49723,Gasoline,4,Automatic,38550
Honda,2018,37053,Electric,5,Manual,39475
Toyota,2014,53751,Gasoline,5,Manual,27921
Honda,2020,63211,Electric,2,Manual,32994
BMW,2020,61066,Gasoline,2,Manual,39572
Mercedes,2014,94469,Diesel,4,Manual,46756
Honda,2017,69981,Diesel,1,Manual,21884
Mercedes,2010,57303,Gasoline,2,Manual,41780
Toyota,2016,45868,Diesel,3,Automatic,28889
Mercedes,2013,65333,Electric,1,Manual,48868
Mercedes,2017,41859,Gasoline,3,Automatic,54456
Ford,2008,63596,Electric,5,Automatic,32970
Ford,2015,69748,Gasoline,1,Manual,19749
Ford,2024,55670,Diesel,4,Automatic,33811
Mercedes,2022,47394,Electric,5,Manual,60979
BMW,2015,16294,Diesel,5,Automatic,51121
Mercedes,2008,82876,Diesel,3,Automatic,45870
BMW,2022,68066,Gasoline,5,Automatic,50155
BMW,2005,68552,Electric,2,Manual,41210
Ford,2011,28772,Diesel,1,Automatic,24761
Honda,2010,87596,Gasoline,2,Automatic,21692
Toyota,2019,50695,Gasoline,3,Automatic,27340
Ford,2022,54224,Gasoline,3,Manual,32550
Ford,2015,38614,Diesel,1,Automatic,27525
Honda,2024,24261,Gasoline,5,Manual,31828
Toyota,2019,83146,Electric,4,Automatic,39302
Mercedes,2020,85731,Electric,3,Automatic,55021
Mercedes,2011,56689,Diesel,1,Automatic,44177
Ford,2014,46412,Electric,4,Manual,30215
Toyota,2016,52459,Gasoline,5,Automatic,32274
Ford,2018,53007,Diesel,3,Automatic,26686
BMW,2009,36002,Gasoline,1,Automatic,39476
Ford,2022,54154,Diesel,1,Automatic,30156
Ford,2009,63062,Diesel,1,Manual,17192
Mercedes,2007,80363,Gasoline,3,Automatic,43803
